Title,Unit(grams),Price(NRs)
Cashews Nuts (kaju),500.0,830.00
Roasted Corn,,180.00
Ferments  Sauerkraut,330.0,380.00
Bakers' Creation Maxipan Red Cherry Without Stem With Seed (Pit) Premium Easy Open Tin   -,850.0,370.00
JUAS Flax Seed Powder,500.0,350.00
Madhuram Premium Quality Pistachio |  | Roasted & Salted,300.0,850.00
Mix Dry Fruit Nut Trail Food -,250.0,550.00
Laxmi Raisin,200.0,147.00
Almonds(Badam) -,500.0,775.00
"Combo Pack of Almond, Cashew, Green Raisains, Walnuts Kernels& Makhana  Each",100.0,665
Red Kidney Beans -  - product of The Village by Sabah,500.0,180.00
Ramro Jeera Zayka Cookies - Salty Crispy Cumin,,50.00
Premium Almonds,500.0,783.00
Raisins (Kismis) -,500.0,370.00
Rigatoni Pasta  Made with Durum Wheat,400.0,699.00
Sunflower Seeds Kernels -,100.0,114
Big Choice Mixed Daal,1000.0,269.00
Combo Dry Fruits,800.0,1400.00
Walnut Kernels (Gudi),500.0,750.00
Poshilo Multigrain Satu  (Local Sattu),800.0,240.00
Dhiki Jato Brown Rice,5000.0,600.00
Pumpkin Seeds -,500.0,599.00
Prawn fish  dried,200.0,300.00
Dry Black Raisin With seed  kismis,500.0,550.00
"Slurrp Farm Healthy Snacks for Kids | Mighty Puff Tangy Tomato| Not Fried, No Maida",,90.00
Cashew Nuts Kaju,200.0,350.00
Big Choice Small Peas,1000.0,200.00
Arksh Food Dami Crispy Puff - 150 gm (),,959.00
Yellow Aaju Foods Kaguno,1000.0,414.00
Roasted ChickPea (Bhuteko Chana),250.0,80.00
Bahar Spaghetti  | 100% Wheat Semolina | Product of Turkey,500.0,219.00
White Beans,1000.0,280.00
Fresh Fard Dates / Khajur -,500.0,480.00
Hulas Basmati Premium,5000.0,780.00
DhikiJato Local Anadi Chamal,1000.0,320.00
Walnut  Okhar -,1000.0,610.00
Laxmi Cashew Nut Plain,100.0,235.00
Gudpak,500.0,425.00
"Rahar Non Polish Daal,",1000.0,215.00
Apricot (Khurpani),500.0,570
Sajina  Panipuri,200.0,65.00
Dry Food  Combo Kaju 200 Gm  Badam 200 Gm Pista,200.0,1380.00
Quinoa Seeds,1000.0,999.00
Patanjali Badam Pak,500.0,590.00
Black Rice,1000.0,475
Pashupati Papad/,60.0,40.00
Mato Raisins Yellow (Kismis) -,500.0,345.00
Dhiki Jato Local Makai Ko Chyakhla (Corn Grits),1000.0,170.00
Harlal's Unique Cashewnuts,100.0,244.00
Homemade Fresh Nimki,500.0,350.00
Watermelon Seed Kernels (Magaz) -,100.0,114
Newari Shahi Pulao Basmati Rice -,20000.0,3549.00
Sidra macha -Nauthali-dried fish,,280.00
Big Choice Local Moong Daal,1000.0,250.00
Local Kidney Bean (Rajma),1000.0,250.00
Pumpkin Seeds ( Pharshi Ko Biyah ),200.0,237
Mato Akabare Achaar  (Pickle),380.0,475.00
Gyan Makhana(Fox Nuts),200.0,339.00
Desna Sweet Bomb Lapsi Achar (Refill Pack) Lapsi Pickle-,400.0,215.00
"Chia Seeds - , Pumpkin Seeds - , Sunflower Seeds - , Flaxseed - , Watermelon Seeds -",100.0,480.00
Dry Fruits (Black Dates),500.0,308
Sunflower Seeds ( Healthy Superfood / Nutrition Power House ) -,200.0,200.00
Dry Black Raisin (Kalo Dakh)-,500.0,490.00
Kaguno Or Foxtail Millet Wonder Grains Of Nepal Gluten Free,200.0,198.00
Apricot (Khurpani),1000.0,1000.00
Mummas Fermented Ginger And Tomato Mix Achar,300.0,284
Thulo Musuriko Dal,1000.0,155.00
Quinoa Seeds-,500.0,499.00
Dry Fruits Cashew Kaju Grade A,500.0,820.00
Mummas Mula Achar,300.0,228
Bikano Papad Kali Mirch,200.0,120.00
Fox Nuts (Makhana)-,200.0,237
Mummas Dalle Khursani Achar,300.0,474
Big Choice Local Maas Daal,1000.0,263.00
Dry Fruit Anjeer,200.0,495.00
Harlal's Unique Cashewnuts Roasted,100.0,265.00
Almond Nuts Madhuram Premium Quality,1000.0,1495.00
Dried Black Mushroom,,190
Poshilo Multigrain Satu  (Local Sattu),2000.0,480.00
Dry Pistachio (Pesta)-,100.0,270.00
Himalayan Food Products Himalayan Buff Sukuti Com Chum With Garlic,33.0,100.00
Brown Soyabean Local,1000.0,260.00
Canned Mushrooms,400.0,140.00
Almond Nuts,200.0,280.00
Divella Fusilla Pasta,500.0,295.00
"Urban Canned Luncheon Pork Ham,",200.0,340.00
Jumla Rajma Simi Kidney Beans,1000.0,170.00
Dry Fruits (Resins),500.0,570
Walnut Without Shells (Gudi Okhar)-,200.0,340.00
Magaj ( Melon Naked Seed ),200.0,300.00
Chia Seed -,1000.0,1325.00
Fried Chik Peas -  Bhuteko Chana,500.0,145.00
Grinded Corn ( Makai Ko Chyakhla),1000.0,140.00
Yellow Aaju Foods Chino,1000.0,414.00
Hira Foods Chana,500.0,160.00
Heart Shape Gift Box With Milk Ball Compound Chocolate  Set,,425.00
Kwati (Local Mixed Beans),1000.0,200.00
Green Kismis,100.0,76
California Badam Almonds Desi Badam,100.0,140.00
Zandu Chyavanprash,450.0,312.00
Bikano Papad Panjabi,200.0,120.00
Dry Fruits ( Cashew Nuts),500.0,900.00
Lion Arabian Dates  Get One Free,500.0,655.00
Century Mix Pickle,200.0,85.00
Homemade Deep Round Chilly  Pickle (Akabare  Achar),350.0,190
Buckwheat Grits (Fafar Ko Chyakhla),1000.0,300.00
Desna Piro Timur Chhop -,200.0,290.00
"Laxmi Almond,",100.0,184.00
Swaadilo Badaam Khursani (Veg) -,200.0,299.00
Organic Wheat for Wheat Grass Juice (),500.0,125.00
Himalayan Food Products Himalayan Timur Ko Chhop,100.0,100.00
Chhurpi (Dried Cheese),100.0,180.00
Bikaji Papad Bc,900.0,565.00
BS Local Organic White Soyabeans,1000.0,280.00
Poshak Satu 1KG (500gm ),,325.00
Organic Nepali Rajma Simi Kidney Beans,1000.0,165.00
True Elements Whole Oatmeal  - | Breakfast Food | Wholegrain Cereal | Diet Food for Weight Loss,145.0,190.00
Mummas Karela Achar (),300.0,299.00
Apricot (Khurpani),200.0,250.00
Chana Daal -,1000.0,148.00
Khoste Moongko Dal,1000.0,180.00
Haldiram Moong Dal Set Of 3,,460.00
"Penne Pasta  Made with Chickpea, Red Lentil & Brown Rice.",450.0,799.00
Almond Nuts (Badam)-,1000.0,1390.00
Jumla Mixed Beans Splite,,320.00
Dabur Chyawanprash Sugar Free,500.0,385.00
Lemon (Kagati),1000.0,300.00
Hamro roKoseli Jumla Rato Marsi Chamal,1000.0,280.00
Walnut (Singo Okhar)-,500.0,320.00
Dry Fruits ( Pistachio ),250.0,600.00
Walnut ( Okhar ),500.0,285
KRITIZ KITCHEN - Buff Achar -,200.0,450.00
Combo Flax Seed - Pumpkin Seed - Packet,500.0,725.00
Dried Green Raisin (Hareyo Dakh)-,500.0,330.00
Kent Chicken Bouillon 6Cubes,60.0,110.00
Seto Kerau (Matar) -,1000.0,145.00
Lekali Chop Timur,230.0,275.00
Roasted Chickpeas,400.0,160.00
White Dry Dates (Seto Chokada),100.0,71
Singha Durbar Baidhya Khana  Chyavanaprasha Avaleha (B.R.),1000.0,930.00
Dry Black Raisin (Kalo Dakh)-,100.0,110.00
"Broken Cashew -  ( Not As Regular Cashew , Only For Sweets )",500.0,640.00
"Gerber, Teethers, Gentle Teething Wafers, Strawberry Apple Spinach, 7+ Months,",,1400.00
Haldirams Jeera Papad-,170.0,115.00
Swaadilo Badaam Khursani (Fish) -,200.0,300
Almond Nuts,500.0,700.00
Shrimann Musuro Dal -,1000.0,182.00
Roasted Cashew (Kaju),100.0,180
Dry Raisins (Green Kismis),1000.0,650.00
Bodi Ko Dana,1000.0,158.00
Black Raisin 250 Gm / Kalo Dakh / Black Kismish -,250.0,290.00
Crunchy Pustakari  Pkt,500.0,399.00
Sakhar,1000.0,150.00
Knorr Chicken Bouillon Artificially Flavoured 8'S,88.0,127.00
Barnyard millet processed -,500.0,500.00
Raisins Dry Kismis (Lowers the risk of heart disease)-,1000.0,620.00
Dried Ritha Whole,200.0,180.00
Poshak Jau Ko Satu / Barley Satu / TSAMPA 800 Grams (),,295.00
Sidra machcha nauthali,500.0,600.00
Dry Whole Coconut,500.0,380
Sita Sweet Chana Sattu,450.0,160.00
Baidyanath Sugarfree Chyawan-Vit,1000.0,664.00
Tong Garden Mexican Taco Green Peas,30.0,30.00
Kent Boringer Cream Of Chicken,71.0,90.00
Quinoa Pasta  Fusilli -,250.0,700.00
Sattu (Mix Grains )  Didi Ko Sattu,1000.0,380.00
Walnut Kernels (Gudi),100.0,160.00
Dry Green Raisin (Hareyo Dakh)-,1000.0,535.00
True Elements Dark Chocolate Oatmeal  - Breakfast Cereals  Diet Food for Weight Loss  Chocolate Coated Oats,500.0,610.00
Aama Chhori Achar Fish Pickle,200.0,500.00
Khudo(Gulmi Thorga) -,,400.00
Harlal's Unique Yellow Raisins,100.0,87.00
Hamro Koseli Bhuteko Badam,500.0,150.00
Sagun machcha dried fish,200.0,350.00
Balaji Gold Cashews-,250.0,349.00
Roasted ChickPea (Bhuteko Chana),500.0,152
Almond Nuts Madhuram Premium Quality,500.0,750.00
Century Mixed Pickle,400.0,155.00
Pintola Peanut Butter All Natural Creamy,1000.0,795.00
Dry Yellow Raisin 1Kg / Kismis  / Dakh -,1000.0,560.00
Date Crown Emirates Fard,500.0,390.00
Rahar Daal (Pegeon Pea Split),1000.0,230.00
Seto Bhattamas Soyabean - White -,1000.0,199.00
Om Namo Kanchanjunga Organic Chhurpee Durkha,200.0,350.00
Sitake Mushroom Dried,200.0,600.00
Dry Red Raisin (Rato Dakh)-,1000.0,1180.00
Betel Nut/Tukra Supari,100.0,199
Anjir Madhuram Fresh Dry Figs,1000.0,1950.00
Dry Fruits (Black Kismis),200.0,240.00
Jumla Beans (Mix Lentil)-,500.0,140
Fresh Almond  1Kg / Badam / Selected Almonds,1000.0,1400.00
Gundruk Tori (Mustard Leaf),100.0,120.00
Masyang ( Ricebean ),1000.0,200.00
Kirana:- Sabudana,500.0,140.00
